name,code,sub1,sub2,sub3,period,description,description_eng,note
AL_Q,902Y003,4020802,?,?,Q,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
AL_Y,902Y003,4020802,?,?,A,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
AL_M,902Y003,4020802,?,?,M,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
CN_CPI_Q,902Y008,CN,?,?,Q,9.1.2.2. ??_ 주?_?? ___??????,9.1.2.2. Consumer Price indices,NA
CN_EXPORT_Q,902Y012,CN,?,?,Q,9.1.3.4. ??_ 주?_?? __(??기?),"9.1.3.4. Goods, Value of Exports, Free on board (FOB), US Dollars",NA
CN_HANGSENG_M,902Y002,3020114,?,?,M,9.1.6.2. ??_ 주?_?? 주???,9.1.6.2. Stock price indices,NA
CN_HANGSENG_Q,902Y002,3020114,?,?,Q,9.1.6.2. ??_ 주?_?? 주???,9.1.6.2. Stock price indices,NA
CN_IMPORT_Q,902Y013,CN,?,?,Q,9.1.3.5. ??_ 주?_?? __(??기?),"9.1.3.5. Goods, Value of Imports, Cost, Insurance, Freight (CIF), US Dollars",NA
CN_RGDP_QG,902Y015,CHN,?,?,Q,9.1.4.1. ??_ 주?_?? 경?_??_??,9.1.4.1. Growth Rate of GDP,NA
CN_RGDP_YG,902Y015,CHN,?,?,A,9.1.4.1. ??_ 주?_?? 경?_??_??,9.1.4.1. Growth Rate of GDP,NA
CORN_M,902Y003,4020701,?,?,M,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
CORN_Q,902Y003,4020701,?,?,Q,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
CP_ASSET_Y,501Y001,ZZZ00,A,110000,A,"5.3.1. ?무__(10?? _??_??_??__, 2009~)","5.3.1. Balance Sheet(10th revised KSIC, 2009~, complete enumeration)",NA
CP_CAPITAL_Y,501Y001,ZZZ00,A,124000,A,"5.3.1. ?무__(10?? _??_??_??__, 2009~)","5.3.1. Balance Sheet(10th revised KSIC, 2009~, complete enumeration)",NA
CP_DEBT1_1_Q,281Y002,F04TTB,L,S11,Q,2.3.1.2. ??____????__??_(2008~),2.3.1.2. Financial Assets and Liabilities Outstanding(2008~),NA
CP_DEBT1_1_Y,281Y002,F04TTB,L,S11,A,2.3.1.2. ??____????__??_(2008~),2.3.1.2. Financial Assets and Liabilities Outstanding(2008~),NA
CP_DEBT1_2_Q,281Y002,F05TTB,L,S11,Q,2.3.1.2. ??____????__??_(2008~),2.3.1.2. Financial Assets and Liabilities Outstanding(2008~),NA
CP_DEBT1_2_Y,281Y002,F05TTB,L,S11,A,2.3.1.2. ??____????__??_(2008~),2.3.1.2. Financial Assets and Liabilities Outstanding(2008~),NA
CP_DEBT2_1_Q,281Y007,304000,L,C3000,Q,2.3.2.2. ??____????__??_(2002~),2.3.2.2.1. Financial Assets and Liabilities Outstanding(2002~2013),NA
CP_DEBT2_1_Y,281Y007,304000,L,C3000,A,2.3.2.2. ??____????__??_(2002~),2.3.2.2.1. Financial Assets and Liabilities Outstanding(2002~2013),NA
CP_DEBT2_2_Q,281Y007,305000,L,C3000,Q,2.3.2.2. ??____????__??_(2002~),2.3.2.2.1. Financial Assets and Liabilities Outstanding(2002~2013),NA
CP_DEBT2_2_Y,281Y007,305000,L,C3000,A,2.3.2.2. ??____????__??_(2002~),2.3.2.2.1. Financial Assets and Liabilities Outstanding(2002~2013),NA
CP_DEBT2EQUITY_Q,502Y003,1000,A,3000,Q,5.2.3. __/_?? ??,"5.2.3. Relationship Ratios of Assets, Liablitilies and Stockholders Equity",NA
CP_DEBT3_1_Q,281Y005,205000,2,C220,Q,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_DEBT3_1_Y,281Y005,205000,2,C220,A,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_DEBT3_21_Q,281Y005,206000,2,C220,Q,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_DEBT3_21_Y,281Y005,206000,2,C220,A,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_DEBT3_22_Q,281Y005,208000,2,C220,Q,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_DEBT3_22_Y,281Y005,208000,2,C220,A,2.3.3.2. ??____????__??_(1975~2005),2.3.3.2.1. Financial Assets & Liabilities Outstanding (End of),NA
CP_INTCOVERAGE_Q,502Y002,1000,A,6000,Q,5.2.2. __ ??,5.2.2. Relationship Ratios of Income and Expenses,NA
CPI_M,901Y009,0,?,?,M,4.2.1. ___??????,4.2.1. Consumer Price indices(2015=100),NA
CPI_Q,901Y009,0,?,?,Q,4.2.1. ___??????,4.2.1. Consumer Price indices(2015=100),NA
CPI_Y,901Y009,0,?,?,A,4.2.1. ___??????,4.2.1. Consumer Price indices(2015=100),NA
CU_M,902Y003,4020801,?,?,M,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
CU_Q,902Y003,4020801,?,?,Q,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
CU_Y,902Y003,4020801,?,?,A,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
EMP_Q,901Y027,I61E,I28A,?,Q,8.6.2. 경?___?구,8.6.2. Summary of Economically Active Pop.,NA
EMP_QA,901Y027,I61E,I28B,?,Q,8.6.2. 경?___?구,8.6.2. Summary of Economically Active Pop.,adjusted
EMP_Y,901Y027,I61E,I28A,?,A,8.6.2. 경?___?구,8.6.2. Summary of Economically Active Pop.,NA
EURIBOR3M_M,902Y001,1030601,?,?,M,9.1.6.1. 주?_??_??_??,9.1.6.1. Financial Market Key Indicators,NA
EURIBOR3M_Q,902Y001,1030601,?,?,Q,9.1.6.1. 주?_??_??_??,9.1.6.1. Financial Market Key Indicators,NA
EXPORT_Q,902Y012,KR,?,?,Q,9.1.3.4. ??_ 주?_?? __(??기?),"9.1.3.4. Goods, Value of Exports, Free on board (FOB), US Dollars",NA
EXT_DEBT_Q,311Y004,A000000,?,?,Q,2.6.2.1. ??_??,2.6.2.1. External Debt,NA
EXT_DEBT_Y,311Y004,A000000,?,?,A,2.6.2.1. ??_??,2.6.2.1. External Debt,NA
GDP_DF_Q,200Y011,1400,?,?,Q,2.1.2.3.1. 경?___?? ??_??__ ____(??_?? ?? ??_),"2.1.2.3.1. GDP Deflator by Economic Activities (not seasonally adjusted, quarterly & annual)",NA
GDP_DF_Y,200Y011,1400,?,?,A,2.1.2.3.1. 경?___?? ??_??__ ____(??_?? ?? ??_),"2.1.2.3.1. GDP Deflator by Economic Activities (not seasonally adjusted, quarterly & annual)",NA
GOLD_M,902Y003,4020401,?,?,M,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
GOLD_Q,902Y003,4020401,?,?,Q,9.1.6.3. ??___????,9.1.6.3. World Commodity Prices,NA
GOV_BAL_M,901Y013,C,?,?,M,1.5.4.1. ??_??__,1.5.4.1. Central Governmnet Fiscal Balance,NA
