name,code,sub1,sub2,sub3,period,note
AL_Q,I10Y004,4020802,?,?,QQ,NA
AL_Y,I10Y004,4020802,?,?,YY,NA
AL_M,I10Y004,4020802,?,?,MM,NA
CN_CPI_Q,I10Y022,CN,?,?,QQ,NA
CN_EXPORT_Q,I10Y034,CN,?,?,QQ,NA
CN_HANGSENG_M,I10Y002,3020114,?,?,MM,NA
CN_HANGSENG_Q,I10Y002,3020114,?,?,QQ,NA
CN_IMPORT_Q,I10Y035,CN,?,?,QQ,NA
CN_RGDP_QG,I10Y041,CHN,?,?,QQ,NA
CN_RGDP_YG,I10Y041,CHN,?,?,YY,NA
CORN_M,I10Y004,4020701,?,?,MM,NA
CORN_Q,I10Y004,4020701,?,?,QQ,NA
CP_ASSET_Y,027Y601,ZZZ00,A,110000,YY,NA
CP_CAPITAL_Y,027Y601,ZZZ00,A,124000,YY,NA
CP_DEBT1_1_Q,012Y502,4040000,L,D4000,QQ,NA
CP_DEBT1_1_Y,012Y502,4040000,L,D4000,YY,NA
CP_DEBT1_2_Q,012Y502,4050000,L,D4000,QQ,NA
CP_DEBT1_2_Y,012Y502,4050000,L,D4000,YY,NA
CP_DEBT2_1_Q,012Y102,304000,L,C3000,QQ,NA
CP_DEBT2_1_Y,012Y102,304000,L,C3000,YY,NA
CP_DEBT2_2_Q,012Y102,305000,L,C3000,QQ,NA
CP_DEBT2_2_Y,012Y102,305000,L,C3000,YY,NA
CP_DEBT2EQUITY_Q,027Y217,1000,A,3000,QQ,NA
CP_DEBT3_1_Q,012Y002,205000,2,C220,QQ,NA
CP_DEBT3_1_Y,012Y002,205000,2,C220,YY,NA
CP_DEBT3_21_Q,012Y002,206000,2,C220,QQ,NA
CP_DEBT3_21_Y,012Y002,206000,2,C220,YY,NA
CP_DEBT3_22_Q,012Y002,208000,2,C220,QQ,NA
CP_DEBT3_22_Y,012Y002,208000,2,C220,YY,NA
CP_INTCOVERAGE_Q,027Y216,1000,A,6000,QQ,NA
CPI_M,021Y125,0,?,?,MM,NA
CPI_Q,021Y125,0,?,?,QQ,NA
CPI_Y,021Y125,0,?,?,YY,NA
CU_M,I10Y004,4020801,?,?,MM,NA
CU_Q,I10Y004,4020801,?,?,QQ,NA
CU_Y,I10Y004,4020801,?,?,YY,NA
EMP_Q,080Y034,I61E,I28A,?,QQ,NA
EMP_QA,080Y034,I61E,I28B,?,QQ,adjusted
EMP_Y,080Y034,I61E,I28A,?,YY,NA
EURIBOR3M_M,I10Y001,1030601,?,?,MM,NA
EURIBOR3M_Q,I10Y001,1030601,?,?,QQ,NA
EXPORT_Q,I10Y034,KR,?,?,QQ,NA
EXT_DEBT_Q,039Y108,A000000,?,?,QQ,NA
EXT_DEBT_Y,039Y108,A000000,?,?,YY,NA
GDP_DF_Q,111Y046,1400,?,?,QQ,NA
GDP_DF_Y,111Y046,1400,?,?,YY,NA
GOLD_M,I10Y004,4020401,?,?,MM,NA
GOLD_Q,I10Y004,4020401,?,?,QQ,NA
GOV_BAL_M,028Y009,C,?,?,MM,NA
GOV_DEBT1_Q,012Y502,4000000,L,D3000,QQ,NA
GOV_DEBT1_Y,012Y502,4000000,L,D3000,YY,NA
GOV_DEBT2_Q,012Y102,300000,L,C2000,QQ,NA
GOV_DEBT2_Y,012Y102,300000,L,C2000,YY,NA
GOV_DEBT3_Q,012Y002,200000,2,C170,QQ,NA
GOV_DEBT3_Y,012Y002,200000,2,C170,YY,NA
GOV_Q,111Y014,1010120,?,?,QQ,NA
GOV_Y,111Y014,1010120,?,?,YY,NA
HH_ASSET_FIN_Y,104Y405,SEC04,2,?,YY,NA
HH_ASSET_NONFIN_Y,104Y405,SEC04,1,?,YY,NA
HH_DEBT1_Q,012Y502,4050000,L,D5000,QQ,NA
HH_DEBT1_Y,012Y502,4050000,L,D5000,YY,NA
HH_DEBT2_Q,012Y102,305000,L,C4000,QQ,NA
HH_DEBT2_Y,012Y102,305000,L,C4000,YY,NA
HH_DEBT3_Q,012Y002,208000,2,C290,QQ,NA
HH_DEBT3_Y,012Y002,208000,2,C290,YY,NA
HH_DI_Y,111Y019,1020130,?,?,YY,nominal
HH_MORT_Q,008Y001,11000A0,?,?,QQ,NA
HH_MORT_Y,008Y001,11000A0,?,?,YY,NA
HOUSE_M,085Y021,P63A,?,?,MM,KB
IAIP_Q,I10Y051,KOR,?,?,QQ,NA
IMPORT_Q,I10Y035,KR,?,?,QQ,NA
INT_AAm3Y_D,060Y001,010300000,?,?,DD,NA
INT_AAm3Y_M,028Y001,BEEA472,?,?,MM,NA
INT_AAm3Y_Q,028Y001,BEEA472,?,?,QQ,NA
INT_AAm3Y_Y,028Y001,BEEA472,?,?,YY,NA
INT_BASE_D,098Y001,0101000,?,?,DD,NA
INT_BASE_M,098Y001,0101000,?,?,MM,NA
INT_BASE_Q,098Y001,0101000,?,?,QQ,NA
INT_BBBm3Y_D,060Y001,010320000,?,?,DD,NA
INT_BBBm3Y_M,028Y001,BEEA473,?,?,MM,NA
INT_BBBm3Y_Q,028Y001,BEEA473,?,?,QQ,NA
INT_BBBm3Y_Y,028Y001,BEEA473,?,?,YY,NA
INT_BOK1Y_D,060Y001,010400000,?,?,DD,NA
INT_BOK1Y_M,028Y001,BEEA43,?,?,MM,NA
INT_BOK1Y_Q,028Y001,BEEA43,?,?,QQ,NA
INT_BOK1Y_Y,028Y001,BEEA43,?,?,YY,NA
INT_CALL_D,060Y001,010101000,?,?,DD,NA
INT_CALL_M,028Y001,BEEA14,?,?,MM,NA
INT_CALL_Q,028Y001,BEEA14,?,?,QQ,NA
INT_CALL_Y,028Y001,BEEA14,?,?,YY,NA
INT_CD91_D,060Y001,010502000,?,?,DD,NA
INT_CD91_M,028Y001,BEEA21,?,?,MM,NA
INT_CD91_Q,028Y001,BEEA21,?,?,QQ,NA
INT_CD91_Y,028Y001,BEEA21,?,?,YY,NA
INT_CP91_D,060Y001,010503000,?,?,DD,NA
INT_CP91_M,028Y001,BEEA31,?,?,MM,NA
INT_CP91_Q,028Y001,BEEA31,?,?,QQ,NA
INT_CP91_Y,028Y001,BEEA31,?,?,YY,NA
INT_KTB10Y_D,060Y001,010210000,?,?,DD,NA
INT_KTB10Y_M,028Y001,BEEA422,?,?,MM,NA
INT_KTB10Y_Q,028Y001,BEEA422,?,?,QQ,NA
INT_KTB10Y_Y,028Y001,BEEA422,?,?,YY,NA
