ITEM_CODE,USE,NAME
AI1AA,X,
AI1AB,O,PRIVATE_CONSUM_G
AI1AC,O,FACILITY_INVEST_G
AI1AD,O,CONSTRCTN_INVEST_G
AI1AE,O,SAVING_RATE
AI1AF,O,DOMESTIC_INVEST_RATIO
AI1AG,O,EXT2GNI
AI1AH,O,OPERATION_RATIO
AI1AI,X,INVENTORY_RATE
AI1AJ,X,
AI1AK,X,
AI1AO,O,LABOR_PRODUCTIVITY_G
AI1AP,O,LABOR_COST_G
AI1AQ,O,PER_HOUR_WAGES_G
AI1BA,O,PPI_G
AI1BB,X,
AI1BC,O,CORE_INFLATION_G
AI1BD,O,EXPORT_PRICE_G
AI1BE,O,IMPORT_PRICE_G
AI1BF,X,
AI1BFA,O,APARTMENT_G
AI1BG,X,
AI1BH,O,HOUSE_JEONSE_G
AI1BHA,O,APARTMENT_JEONSE_G
AI1CA,O,M1_G
AI1CB,O,M2_G
AI1CC,O,M3_G
AI1CE,X,
AI1CF,X,
AI1CG,X,
AI1CH,X,
AI1DA,O,CRRNT_ACC
AI1DAA,O,GOODS_BAL
AI1DAB,O,SERVICES_BAL
AI1DB,O,FIN_ACC
AI1DC,O,FOREIGN_RESERVES
AI1DG,O,NET_TERMS_TRADE
