"","CLASS_NAME","KEYSTAT_NAME","KEYSTAT_NAME_EN","CYCLE","DATA_VALUE","UNIT_NAME"
"1","국민소득 · 경기 · 기업경영","경제성장률(실질, 계절조정 전기대비)","GDP Growth Rate(S.A.)","202201",0.7,"% "
"2","국민소득 · 경기 · 기업경영","민간소비증감률(실질, 계절조정 전기대비)","Private Consumption(S.A., % Change)","202201",-0.5,"% "
"3","국민소득 · 경기 · 기업경영","설비투자증감률(실질, 계절조정 전기대비)","Facilities Investment(S.A.,% Change)","202201",-4,"% "
"4","국민소득 · 경기 · 기업경영","건설투자증감률(실질, 계절조정 전기대비)","Construction Investment(S.A.,% Change)","202201",-2.4,"% "
"5","국민소득 · 경기 · 기업경영","GDP(명목, 계절조정)","GDP(S.A.,at Current Price)","202104",526257.6,"십억원 "
"6","국민소득 · 경기 · 기업경영","GDP디플레이터","GDP Deflator","202104",107.419,"2015=100"
"7","국민소득 · 경기 · 기업경영","1인당GNI","Per Capita GNI","2021",35168,"달러 "
"8","국민소득 · 경기 · 기업경영","총저축률","Gross Saving Ratio","202104",35.4,"% "
"9","국민소득 · 경기 · 기업경영","국내총투자율","Gross Dom. Investment Ratio","202104",32.3,"% "
"10","국민소득 · 경기 · 기업경영","수출입의 대 GNI 비율","Ratio of Exports and Imports to GNI","2021",82.9,"% "
"11","국민소득 · 경기 · 기업경영","제조업업황실적BSI","BSI(Manufact. Business Con., Tendency)","202204",87,""
"12","국민소득 · 경기 · 기업경영","소비자심리지수","Composite Consumer Sentiment Index","202204",103.78786,""
"13","국민소득 · 경기 · 기업경영","경제심리지수","Economic Sentiment Index","202204",105.7,""
"14","국민소득 · 경기 · 기업경영","경기동행지수순환변동치","Cyclical Component of Composite Coincident Index","202203",102.4,"2015=100"
"15","국민소득 · 경기 · 기업경영","경기선행지수순환변동치","Cyclical Component of Composite Leading Index","202203",99.5,"2015=100"
"16","국민소득 · 경기 · 기업경영","제조업부채비율","Debt Ratio in Manufacturing","2020",76.27,"% "
"17","국민소득 · 경기 · 기업경영","제조업매출액세전순이익률","Ordinary Income to Sales in Manufacturing","2020",4.56,"% "
"18","국민소득 · 경기 · 기업경영","제조업매출액증감률","Growth Rate of Sales in Manufacturing","2020",-2.34,"% "
"19","산업활동 · 소비 · 투자","전산업생산지수(농림어업제외)","Index of all industry production(excluding Agriculture, Forestry and Fishing)","202203",119.7,"2015=100"
"20","산업활동 · 소비 · 투자","제조업생산지수","Manufacturing Production Index","202203",123.5,"2015=100"
"21","산업활동 · 소비 · 투자","제조업출하지수","Manufacturing Shipment Index","202203",112.6,"2015=100"
"22","산업활동 · 소비 · 투자","제조업재고지수","Manufacturing Inventory Index","202203",124.3,"2015=100"
"23","산업활동 · 소비 · 투자","제조업가동률지수","Manufacturing Operation Ratio Index","202203",108.5,"2015=100"
"24","산업활동 · 소비 · 투자","서비스업생산지수","Index of Service","202203",115.7,"2015=100"
"25","산업활동 · 소비 · 투자","도소매업지수","Wholesale and Retail Sales Index","202203",112.6,"2015=100"
